Symbol,Name
MXIM,#CALC!
MCD,McDonald's Corporation Common Stock
MCK,McKesson Corporation Common Stock
MDT,Medtronic plc. Ordinary Shares
MRK,Merck & Company Inc. Common Stock (new)
MET,MetLife Inc. Common Stock
MTD,Mettler-Toledo International Inc. Common Stock
MGM,MGM Resorts International Common Stock
MCHP,Microchip Technology Incorporated Common Stock
MU,Micron Technology Inc. Common Stock
MSFT,Microsoft Corporation Common Stock
MAA,Mid-America Apartment Communities Inc. Common Stock
MHK,Mohawk Industries Inc. Common Stock
MDLZ,Mondelez International Inc. Class A Common Stock
MNST,Monster Beverage Corporation
MCO,Moody's Corporation Common Stock
MS,Morgan Stanley Common Stock
MOS,Mosaic Company (The) Common Stock
MSI,Motorola Solutions Inc. Common Stock
MSCI,MSCI Inc. Common Stock
MYL,#CALC!
NDAQ,Nasdaq Inc. Common Stock
NOV,NOV Inc. Common Stock
NTAP,NetApp Inc. Common Stock
NFLX,Netflix Inc. Common Stock
NWL,Newell Brands Inc. Common Stock
NEM,Newmont Corporation
NWSA,News Corporation Class A Common Stock
NWS,News Corporation Class B Common Stock
NEE,NextEra Energy Inc. Common Stock
NLSN,#CALC!
NKE,Nike Inc. Common Stock
NI,NiSource Inc Common Stock
NBL,#CALC!
NSC,Norfolk Southern Corporation Common Stock
NTRS,Northern Trust Corporation Common Stock
NOC,Northrop Grumman Corporation Common Stock
NLOK,#CALC!
NCLH,Norwegian Cruise Line Holdings Ltd. Ordinary Shares
NRG,NRG Energy Inc. Common Stock
NUE,Nucor Corporation Common Stock
NVDA,NVIDIA Corporation Common Stock
NVR,NVR Inc. Common Stock
NOW,ServiceNow Inc. Common Stock
ORLY,O'Reilly Automotive Inc. Common Stock
OXY,Occidental Petroleum Corporation Common Stock
ODFL,Old Dominion Freight Line Inc. Common Stock
OMC,Omnicom Group Inc. Common Stock
OKE,ONEOK Inc. Common Stock
ORCL,Oracle Corporation Common Stock
OTIS,Otis Worldwide Corporation Common Stock 
O,Realty Income Corporation Common Stock
PEAK,#CALC!
PCAR,PACCAR Inc. Common Stock
PKG,Packaging Corporation of America Common Stock
PH,Parker-Hannifin Corporation Common Stock
PAYX,Paychex Inc. Common Stock
PAYC,Paycom Software Inc. Common Stock
PYPL,PayPal Holdings Inc. Common Stock
PNR,Pentair plc. Ordinary Share
PBCT,#CALC!
PEP,PepsiCo Inc. Common Stock
PKI,#CALC!
PRGO,Perrigo Company plc Ordinary Shares
PFE,Pfizer Inc. Common Stock
PM,Philip Morris International Inc Common Stock
PSX,Phillips 66 Common Stock
PNW,Pinnacle West Capital Corporation Common Stock
PXD,Pioneer Natural Resources Company Common Stock
PNC,PNC Financial Services Group Inc. (The) Common Stock
PPG,PPG Industries Inc. Common Stock
PPL,PPL Corporation Common Stock
PFG,Principal Financial Group Inc Common Stock
PG,Procter & Gamble Company (The) Common Stock
PGR,Progressive Corporation (The) Common Stock
PLD,Prologis Inc. Common Stock
PRU,Prudential Financial Inc. Common Stock
PEG,Public Service Enterprise Group Incorporated Common Stock
PSA,Public Storage Common Stock
PHM,PulteGroup Inc. Common Stock
PVH,PVH Corp. Common Stock
PWR,Quanta Services Inc. Common Stock
QRVO,Qorvo Inc. Common Stock
QCOM,QUALCOMM Incorporated Common Stock
RE,#CALC!
RL,Ralph Lauren Corporation Common Stock
RJF,Raymond James Financial Inc. Common Stock
RTX,RTX Corporation Common Stock
REG,Regency Centers Corporation Common Stock
REGN,Regeneron Pharmaceuticals Inc. Common Stock
RF,Regions Financial Corporation Common Stock
RSG,Republic Services Inc. Common Stock
RMD,ResMed Inc. Common Stock
RHI,Robert Half Inc. Common Stock
ROK,Rockwell Automation Inc. Common Stock
ROL,Rollins Inc. Common Stock
ROP,Roper Technologies Inc. Common Stock
ROST,Ross Stores Inc. Common Stock
RCL,Royal Caribbean Cruises Ltd. Common Stock
SCHW,Charles Schwab Corporation (The) Common Stock
STZ,Constellation Brands Inc. Common Stock
SJM,The J.M. Smucker Company Common Stock
SPGI,S&P Global Inc. Common Stock
SBAC,SBA Communications Corporation Class A Common Stock
SLB,Schlumberger N.V. Common Stock
STX,Seagate Technology Holdings PLC Ordinary Shares (Ireland)
SEE,Sealed Air Corporation Common Stock
SRE,DBA Sempra Common Stock
SHW,Sherwin-Williams Company (The) Common Stock
SPG,Simon Property Group Inc. Common Stock
SWKS,Skyworks Solutions Inc. Common Stock
SLG,SL Green Realty Corp Common Stock
SNA,Snap-On Incorporated Common Stock
SO,Southern Company (The) Common Stock
SWK,Stanley Black & Decker Inc. Common Stock
SBUX,Starbucks Corporation Common Stock
STT,State Street Corporation Common Stock
STE,STERIS plc (Ireland) Ordinary Shares
SYK,Stryker Corporation Common Stock
SIVB,#CALC!
SYF,Synchrony Financial Common Stock
SNPS,Synopsys Inc. Common Stock
SYY,Sysco Corporation Common Stock
T,AT&T Inc.
TAP,Molson Coors Beverage Company Class B Common Stock
TMUS,T-Mobile US Inc. Common Stock
TROW,T. Rowe Price Group Inc. Common Stock
TTWO,Take-Two Interactive Software Inc. Common Stock
TPR,Tapestry Inc. Common Stock
TGT,Target Corporation Common Stock
